route_name,direction,total_uses,00:00–01:00,03:00–04:00,06:00–07:00,07:00–08:00,08:00–09:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Bad Nieuweschans <-> Groningen ST37500 Stoptrein RS6,departure,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
Stadskanaal - Emmen 74,departure,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
Arnhem Centraal <-> Winterswijk ST30900 Stoptrein RS32,departure,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
Zwolle <-> Enschede SPR7900 Sprinter RS23,departure,4,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
Dedemsvaart - Zwolle 301,departure,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Reusel - Eersel - Eindhoven Station 319,departure,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Lelystad Centrum <-> Leeuwarden SPR9000 Sprinter,departure,4,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0
Kop Afsluitdijk - Harlingen - Leeuwarden 71,return,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
U-link Utrecht - Wageningen / Veenendaal 50,return,4,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Oldenzaal via Ootmarsum - Almelo 64,departure,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
U-link Utrecht - Wageningen / Veenendaal 50,departure,4,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Maastricht via Epen - Gulpen 57,departure,4,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
Holwert Veerdam - Leeuwarden 66,return,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Breukelen <-> Rhenen SPR7300 Sprinter,return,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Meppel - Beilen 28,departure,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Meppel - Hoogeveen 32,departure,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Hoogeveen - Emmen 27,departure,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Hulst - Goes 20,departure,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Leeuwarden <-> Stavoren ST37100 Stoptrein RS3,departure,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
Almere Centrum <-> Utrecht Centraal SPR4900 Sprinter,departure,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Carnisselande - Rotterdam Centraal 5,departure,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Overdinkel - Enschede 61,departure,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Leeuwarden - Burgum - Drachten 21,return,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Eindhoven Gijzenrooi - Eindhoven Station 12,departure,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Station Ede-Wageningen - Putten 107,departure,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Zaandam via Amsterdam Noord - Marken 111,departure,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Veldhoven Abdijlaan - Eindhoven Station 15,departure,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Heerenveen - Oosterwolde 15,departure,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Amsterdam Centraal <-> Frankfurt (M) Hbf ICE100 ICE International,departure,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Den Helder Station - Schagen Station 30,return,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Drachten - Oosterwolde - Assen 380,departure,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Bergeijk - Veldhoven - Eindhoven Station 18,departure,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zwolle <-> Roosendaal IC3600 Intercity,return,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Vlissingen <-> Amsterdam Centraal IC2200 Intercity,return,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Rotterdam Centraal <-> Lelystad Centrum ICD2400 Intercity direct,departure,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
St-Annaparochie - Stiens - Leeuwarden 72,departure,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Drachten - Haulerwijk - Assen 84,return,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Dommelen - Valkenswaard - Eindhoven Station 317,return,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Leeuwarden - Surhuisterveen - Drachten 13,departure,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Amsterdam Centraal <-> Hoorn SPR4800 Sprinter,departure,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Leeuwarden - Drachten - Heerenveen 320,departure,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Emmen - Ter Apel - Veendam 73,departure,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Amsterdam Noord via Edam - Hoorn 314,return,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Den Haag Leyenburg - Hoek van Holland 31,departure,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Ouddorp - Rotterdam Zuidplein 436,departure,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Amsterdam Centraal <-> Den Haag Centraal IC2100 Intercity,departure,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Heerenveen - Drachten - Groningen 324,return,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Lewenborg - Leek 3,departure,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
St-Annaparochie - Stiens - Leeuwarden 72,return,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Bergen Plein - Alkmaar Station 166,departure,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Den Haag Centraal <-> Nijmegen IC3100 Intercity,departure,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Amsterdam Amstelstation - Hilversum 320,departure,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Station - Zuidbroek 2,departure,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Minnertsga - St-Annaparochie - Leeuwarden 70,departure,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Wijk bij Duurstede - Utrecht CS 41,return,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Wijk bij Duurstede - Utrecht CS 41,departure,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
R'dam Kralingse Zoom - Papendrecht - Utrecht 388,departure,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Steenwijk - Lelystad 214,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Helmond Station - Donk - Gemert 25,return,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Zelhem via Dinxperlo - Aalten 194,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Zweeloo - Assen 22,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Steenwijk - Blauwe Hand 270,departure,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Zernike - HS - Martini - Eelde 9,departure,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Lijn 54,departure,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Nunspeet - Harderwijk 111,departure,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Dommelen - Valkenswaard - Eindhoven Station 317,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Emmen - Assen 21,departure,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Veldhoven Zilverackers - Eindhoven Station 14,return,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Buurtbus Heiloo 't Loo - Egmond aan Zee Busstation 408,departure,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Valkenburg via Hoensbroek - Brunssum 56,departure,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Heerlen via Hoensbroek - Sittard 40,departure,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Assen - Groningen 51,departure,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Groningen <-> Roodeschool ST37600 Stoptrein RS4,return,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jellum - Deinum Station 8131,departure,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Leeuwarden - Drachten - Heerenveen 20,departure,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Eindhoven Gijzenrooi - Eindhoven Station 12,return,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Alkmaar - Afsluitdijk - Leeuwarden 350,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Zutphen <-> Winterswijk ST30800 Stoptrein RS31,departure,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Borculo - Doetinchem 23,departure,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Middelburg - Oude Tonge 133,departure,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Makkum - Bolsward - Sneek - Heerenveen 390,return,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sittard via Geleen en Beek / Stein - Sittard. 33,departure,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Zaandam via Amsterdam Noord - Marken 111,return,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity,departure,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noordwijk - Katwijk - Den Haag 385,departure,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Leeuwarden <-> Harlingen Haven ST37200 Stoptrein RS2,return,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Apeldoorn <-> Almelo SPR7000 Sprinter,departure,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Apeldoorn <-> Zutphen ST17800 Stoptrein RS30,departure,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Roermond via Posterholt - Roermond. 63,departure,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Ommen - Almelo 81,departure,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Emmen - Emmercompascuum - Zwartemeer 92,departure,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Vegelinsoord - Heerenveen Busstation 8411,departure,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Noordwijk - Leiden 20,departure,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Rockanje via Brielle - Spijkenisse 403,departure,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Maastricht via Gulpen - Aachen 350,departure,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
FlexRRReis Rijssen Holten 500,departure,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Nunspeet - Apeldoorn 112,departure,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Den Haag Centraal <-> 's-Hertogenbosch SPR6000 Sprinter,departure,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Dokkum - Leeuwarden - Bolsward 355,departure,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Emmen - Schoonebeek 44,departure,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Buurtbus Wekerom - Overberg 505,departure,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Lijn 25,departure,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Leiden Centraal <-> Utrecht Centraal SPR5700 Sprinter,departure,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Dronten - Harderwijk 147,departure,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Tiel <-> Arnhem Centraal ST31100 Stoptrein RS33,departure,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nijmegen <-> Roermond ST32200 Stoptrein RS11,departure,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Surhuisterveen - Groningen 39,return,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Venlo via Reuver - Roermond 66,departure,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Helmond Station - Asten - Eindhoven Station 320,departure,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Drachten - Haulerwijk - Assen 84,departure,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
lijn D,return,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Veendam - Gieten - Assen 310,departure,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Arnhem CS - Velp 8,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Den Haag Centraal via Leidschendam - Leiden 45,departure,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Delfzijl - Appingedam - Groningen - P+R Haren 6,departure,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Wolvega - Noordwolde - Steenwijk 217,departure,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Leeuwarden - Surhuisterveen - Drachten 13,return,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Leeuwarden - Drachten - Heerenveen 320,return,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Buurtbus Tuitjenhorn - Schagen Station 411,departure,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Alkmaar Station -  Egmond aan Zee Busstation 165,departure,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Lauwersoog - Dokkum - Leeuwarden 51,return,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
lijn E,departure,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Haarlem Station - Zandvoort Centrum 81,departure,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Apeldoorn - Zwolle 304,departure,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Heerenveen - Joure - Jirnsum - Leeuwarden 95,departure,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Winsum - Leens 68,departure,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Heerlen via Simpelveld - Vaals 43,departure,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Gulpen via Epen en Drielandenpunt - Vaals 149,departure,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mamelis via Vijlen - Vaals 59,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harderwijk - Zeewolde 144,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zuid-Beijerland - Heinenoord Busstation 164,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dordrecht CS - Rotterdam Zuidplein 166,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vorden - Doetinchem 51,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hardenberg - Beerzerveld 597,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FLEX: Buitenkaag - Nieuw Vennep,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nieuw-Vennep P+R Getsew - Amsterdam Elandsgracht 397,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Haarlem - Hillegom - Lisse - Leiden 250,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Station Centrum via Parkhaven - Station Centrum 9,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lijn 25,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Buurtbus Kreileroord - Schagen Station 416,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lijn 2,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lijn 2,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Itens - Sneek Busstation 8851,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tolkamer - Arnhem CS 60,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Echt - Maria Hoop 60,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Groningen <-> Leeuwarden S37300 Sneltrein RE1,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lelystad - Kampen 143,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bantega - Lemmer Busstation 9611,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stavenisse - Bergen op Zoom 108,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Assen - Leek 83,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Meppel - Zwolle 40,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mijdrecht - Hilversum 121,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Roermond via Herkenbosch - Roermond. 62,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
